city,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max_Temp,Wind_Speed
punta arenas,CL,1615977347,-53.15,-70.9167,90,71,283.15,10.29
bluff,NZ,1615977041,-46.6,168.3333,22,80,281.48,0.45
chernyshevskiy,RU,1615977595,63.0128,112.4714,98,95,254.93,2.46
hobart,AU,1615977595,-42.8794,147.3294,0,67,289.15,1.03
bow island,CA,1615977596,49.8668,-111.3684,0,74,269.15,0.51
kahului,US,1615976810,20.8947,-156.47,40,94,293.15,4.63
ostrovnoy,RU,1615977597,68.0531,39.5131,71,87,262.35,6.24
calama,CL,1615977598,-22.4667,-68.9333,0,75,279.15,7.2
sao filipe,CV,1615977118,14.8961,-24.4956,0,74,295.19,2.07
hilo,US,1615977008,19.7297,-155.09,75,83,294.15,2.57
ushuaia,AR,1615976739,-54.8,-68.3,0,71,281.15,3.09
busselton,AU,1615977600,-33.65,115.3333,2,79,297.04,2.24
marsh harbour,BS,1615977327,26.5412,-77.0636,6,83,295.51,5.65
iqaluit,CA,1615977115,63.7506,-68.5145,40,76,245.37,0.62
salalah,OM,1615976768,17.0151,54.0924,0,35,303.15,5.14
nikolskoye,RU,1615977043,59.7035,30.7861,90,93,273.71,2
jinchang,CN,1615977604,38.4953,102.1739,17,19,281.33,2.4
yellowknife,CA,1615977604,62.456,-114.3525,90,85,258.15,4.12
vaini,TO,1615977605,-21.2,-175.2,20,94,296.15,2.06
albany,US,1615977606,42.6001,-73.9662,59,58,272.59,0.53
waipawa,NZ,1615977607,-41.4122,175.5153,75,72,288.15,8.75
waddan,LY,1615977607,29.1614,16.139,25,29,292.31,1.58
barrow,US,1615976859,71.2906,-156.7887,20,71,251.15,5.66
yar-sale,RU,1615977609,66.8333,70.8333,97,94,255.37,5.34
kavaratti,IN,1615977609,10.5669,72.642,45,64,301.8,1.12
tuktoyaktuk,CA,1615976770,69.4541,-133.0374,0,95,246.85,2.31
chifeng,CN,1615977550,42.2683,118.9636,20,24,277.38,2.99
atuona,PF,1615977611,-9.8,-139.0333,43,71,299.63,3.08
palafrugell,ES,1615977140,41.9174,3.1631,2,20,289.26,7.55
ambovombe,MG,1615977612,-25.1667,46.0833,11,57,303.07,7.25
samarai,PG,1615977080,-10.6167,150.6667,34,78,301.25,4.21
kruisfontein,ZA,1615977104,-34.0033,24.7314,40,66,298.15,3.13
inirida,CO,1615977614,3.8653,-67.9239,96,97,294.89,0.52
avarua,CK,1615977040,-21.2078,-159.775,75,88,298.15,6.17
ancud,CL,1615977111,-41.8697,-73.8203,0,93,280.93,3.6
mataura,NZ,1615977616,-46.1927,168.8643,17,81,281.48,0.45
fort nelson,CA,1615977617,58.8053,-122.7002,40,74,269.15,2.06
north augusta,US,1615977617,33.5018,-81.9651,90,87,284.15,1.54
saskylakh,RU,1615977618,71.9167,114.0833,17,95,235.06,3.15
rikitea,PF,1615977619,-23.1203,-134.9692,100,74,298.01,4.67
iwanai,JP,1615977620,42.9744,140.5089,99,98,274.08,3.92
kapaa,US,1615977620,22.0752,-159.319,75,78,294.82,8.23
victoria,HK,1615977053,22.2855,114.1577,0,69,298.71,4.92
verkhnyaya toyma,RU,1615977622,62.2349,44.9985,100,99,273.96,1.77
hasaki,JP,1615977116,35.7333,140.8333,75,62,284.15,1.54
makakilo city,US,1615977623,21.3469,-158.0858,90,88,295.15,1.54
fortuna,US,1615977024,40.5982,-124.1573,1,100,275.93,3.09
richards bay,ZA,1615976887,-28.783,32.0377,18,60,302.6,1.66
damietta,EG,1615977625,31.4165,31.8133,0,40,293.15,6.17
airai,TL,1615977091,-8.9266,125.4092,100,96,290.16,0.24
hithadhoo,MV,1615977626,-0.6,73.0833,79,68,301.89,2.9
severo-kurilsk,RU,1615977627,50.6789,156.125,100,97,274.43,11.73
castro,BR,1615977067,-24.7911,-50.0119,73,91,292.42,1.29
georgetown,MY,1615977504,5.4112,100.3354,20,55,305.15,2.06
bredasdorp,ZA,1615977629,-34.5322,20.0403,75,57,297.15,5.14
longyearbyen,SJ,1615977215,78.2186,15.6401,0,46,254.15,6.69
superior,US,1615977630,46.7208,-92.1041,90,100,273.15,1.16
ridgecrest,US,1615977631,35.6225,-117.6709,1,56,279.26,2.57
college,US,1615976878,64.8569,-147.8028,75,78,256.48,2.57
acapulco,MX,1615977633,16.8634,-99.8901,22,87,295.87,1.97
port elizabeth,ZA,1615977634,-33.918,25.5701,75,73,296.15,3.6
riyadh,SA,1615977358,24.6877,46.7219,0,7,309.15,8.23
lebu,CL,1615977121,-37.6167,-73.65,0,83,284.52,4.88
carnarvon,AU,1615977636,-24.8667,113.6333,0,74,302.15,6.17
esperance,AU,1615977060,-33.8667,121.9,5,29,299.15,6.17
butaritari,KI,1615977637,3.0707,172.7902,35,78,300.03,5.85
aripuana,BR,1615977243,-9.1667,-60.6333,96,98,295.96,0.41
camacupa,AO,1615977638,-12.0167,17.4833,99,75,297.69,0.49
upernavik,GL,1615977639,72.7868,-56.1549,100,97,253.87,2.52
ishigaki,JP,1615977640,24.3448,124.1572,75,94,297.15,4.12
porto santo,PT,1615977641,33.072,-16.3415,20,77,291.15,7.72
ambon,ID,1615977641,-3.6954,128.1814,40,78,301.15,2.06
peniche,PT,1615977451,39.3558,-9.3811,14,45,292.59,8.49
alekseyevka,RU,1615977643,50.6309,38.6903,100,91,274.38,4.64
leshukonskoye,RU,1615977644,64.8989,45.7622,100,91,268.04,1.45
norman wells,CA,1615977054,65.282,-126.8329,20,76,244.15,1.03
gizo,SB,1615977645,-8.103,156.8419,85,72,301.45,1.87
elizabethtown,US,1615977595,37.694,-85.8591,1,100,281.15,2.06
general pico,AR,1615977646,-35.6566,-63.7568,28,71,286.23,6.44
boulder,US,1615977357,40.0833,-105.3505,90,93,274.15,2.45
bambous virieux,MU,1615977123,-20.3428,57.7575,75,62,303.15,5.66
cape town,ZA,1615977416,-33.9258,18.4232,0,50,299.26,4.12
iralaya,HN,1615977649,15,-83.2333,23,80,297.8,4.73
opuwo,NA,1615977649,-18.0607,13.84,76,45,299.82,2.5
dayong,CN,1615977264,25.0209,118.2898,0,77,293.15,5
matara,LK,1615977651,5.9485,80.5353,100,68,301.99,1.66
kismayo,SO,1615977651,-0.3582,42.5454,67,61,303.02,6.18
hermanus,ZA,1615977652,-34.4187,19.2345,20,64,298.15,2.24
iquitos,PE,1615977653,-3.7481,-73.2472,40,94,296.15,0.59
geraldton,AU,1615977193,-28.7667,114.6,0,73,298.15,9.77
mareeba,AU,1615977265,-17,145.4333,14,78,300.15,1.54
impfondo,CG,1615977655,1.6381,18.0667,100,88,296.03,0.73
chokurdakh,RU,1615977656,70.6333,147.9167,41,87,249.05,3.96
rafai,CF,1615977657,4.95,23.9167,100,48,304.21,2.3
ahmadpur,IN,1615977657,18.7,76.9333,74,20,310.15,1.03
pisco,PE,1615977143,-13.7,-76.2167,0,77,293.15,2.57
east london,ZA,1615977659,-33.0153,27.9116,20,73,297.15,3.6
baruun-urt,MN,1615977659,46.6806,113.2792,100,33,271.84,2.93
mpanda,TZ,1615977660,-6.3655,31.0409,99,56,301.6,1.61
saldanha,ZA,1615977661,-33.0117,17.9442,0,66,302.15,1.03
myitkyina,MM,1615977661,25.3833,97.4,0,19,307.14,0.83
itarema,BR,1615977662,-2.9248,-39.9167,58,81,299.72,4.04
menongue,AO,1615977663,-14.6585,17.691,100,67,299.01,1.12
teya,RU,1615977664,60.3778,92.6267,100,89,266.79,3.6
caravelas,BR,1615977665,-17.7125,-39.2481,20,76,299.97,2.28
hobyo,SO,1615977213,5.3505,48.5268,56,67,302.56,7.64
pontianak,ID,1615977160,-0.0333,109.3333,75,84,302.15,5.14
mahebourg,MU,1615977667,-20.4081,57.7,75,62,303.15,5.66
zaranj,AF,1615977667,30.9667,61.8833,0,14,304.15,4.12
bejar,ES,1615977668,40.3864,-5.7634,0,53,287.04,1.79
arequipa,PE,1615977669,-16.3989,-71.535,99,85,286.79,0.03
ponta do sol,PT,1615977102,32.6667,-17.1,20,37,294.15,5.66
qaanaaq,GL,1615977670,77.484,-69.3632,93,98,251.04,2.24
zhigansk,RU,1615977159,66.7697,123.3711,84,91,242.21,4.42
galveston,US,1615977672,29.3669,-94.9669,90,88,294.82,6.69
pevek,RU,1615977673,69.7008,170.3133,100,98,245.12,1.82
maceio,BR,1615977673,-9.6658,-35.7353,40,94,296.15,3.09
bosconia,CO,1615977674,9.9689,-73.8836,100,75,297.36,1.61
san javier,ES,1615977675,37.8063,-0.8374,20,63,290.93,2.06
sao joao da barra,BR,1615977675,-21.6403,-41.0511,0,88,297.15,5.24
tuatapere,NZ,1615977112,-46.1333,167.6833,6,80,281.48,0.45
arlit,NE,1615977677,18.7369,7.3853,0,8,310.12,5.35
klaksvik,FO,1615977677,62.2266,-6.589,20,100,281.15,2.06
vao,NC,1615977294,-22.6667,167.4833,9,82,298.22,10.71
tanete,ID,1615977679,-3.9443,119.7848,100,90,298.63,1.56
honningsvag,NO,1615977679,70.9821,25.9704,75,80,269.15,12.86
portland,US,1615977388,45.5234,-122.6762,1,75,276.48,0.43
arica,CL,1615977467,-18.475,-70.3042,0,72,292.15,1.54
roald,NO,1615977220,62.5833,6.1333,75,70,277.04,4.12
ribeira grande,PT,1615976905,38.5167,-28.7,40,88,289.15,8.75
sinnamary,GF,1615977683,5.3833,-52.95,92,78,298.58,4.46
codrington,AU,1615977123,-38.2667,141.9667,42,66,291.47,3.11
jamestown,US,1615977684,42.097,-79.2353,90,100,273.15,1.26
standish,US,1615977685,43.9831,-83.9589,90,93,271.15,0.66
puerto ayora,EC,1615977685,-0.7393,-90.3518,93,94,297.04,2.12
kwinana,AU,1615977686,-32.25,115.7667,13,69,298.15,5.66
saint-joseph,RE,1615977158,-21.3667,55.6167,20,66,303.15,10.29
coihaique,CL,1615977687,-45.5752,-72.0662,2,91,277.97,1.21
dahra,DZ,1615977688,36.2546,0.8519,0,36,290.15,6.69
laguna,US,1615977689,38.421,-121.4238,1,81,278.71,1.54
desaguadero,PE,1615977689,-16.5656,-69.0417,76,81,279.68,0.44
fiche,ET,1615977690,9.8,38.7333,72,21,295.51,3.62
lagoa,PT,1615977691,39.05,-27.9833,100,78,288.56,9.62
vanimo,PG,1615977692,-2.6741,141.3028,100,83,298.23,1.5
leer,DE,1615977693,53.2316,7.461,100,78,279.82,1.79
valparaiso,CL,1615977694,-33.0393,-71.6273,40,88,287.15,1.99
kenora,CA,1615977568,49.8167,-94.4337,90,74,273.15,1.54
cidreira,BR,1615977135,-30.1811,-50.2056,87,85,296.83,4.02
hay river,CA,1615977241,60.8156,-115.7999,94,78,260.15,3.09
meulaboh,ID,1615977197,4.1363,96.1285,42,78,300.22,3.44
aksarka,RU,1615977696,66.5606,67.7975,95,94,253.78,5.06
saint-augustin,CA,1615977141,51.226,-58.6502,27,81,250.31,3.31
yen bai,VN,1615977698,21.7,104.8667,77,74,299.79,1.87
pangai,TO,1615977699,-19.8,-174.35,0,69,300.37,2.2
newport,GB,1615977119,51.5877,-2.9984,62,54,286.48,0.89
kargasok,RU,1615977700,59.0556,80.8572,100,89,267.52,5.92
huarmey,PE,1615977674,-10.0681,-78.1522,89,80,294.96,3.64
jeremie,HT,1615977701,18.65,-74.1167,62,81,296.49,1.81
grindavik,IS,1615977702,63.8424,-22.4338,90,100,281.15,9.77
gweta,BW,1615977703,-20.1833,25.2333,43,37,303.5,3.7
ejura,GH,1615977704,7.3856,-1.3562,72,52,304.9,3.33
necochea,AR,1615977704,-38.5473,-58.7368,100,78,288.15,5.36
verkhoyansk,RU,1615977705,67.5447,133.385,100,74,259.19,5.22
kedrovyy,RU,1615977706,56.1667,91.8167,0,43,270.15,5
clyde river,CA,1615977706,70.4692,-68.5914,1,68,241.15,2.06
goundam,ML,1615977707,16.4145,-3.6708,0,8,306.78,6.49
bengkulu,ID,1615977708,-3.8004,102.2655,89,76,300.58,1.87
port alfred,ZA,1615977709,-33.5906,26.891,90,82,296.48,0.89
ambulu,ID,1615977709,-8.345,113.6058,94,87,299.44,0.3
half moon bay,US,1615977469,37.4636,-122.4286,90,87,279.82,0.44
karratha,AU,1615977711,-20.7377,116.8463,53,59,303.29,3.77
port macquarie,AU,1615977711,-31.4333,152.9167,97,99,292.04,0.45
san cristobal,VE,1615977713,7.7669,-72.225,86,94,291.5,0.49
stornoway,GB,1615977713,58.2093,-6.3865,75,81,283.15,3.6
elko,US,1615977714,41.0002,-115.5012,48,88,274.26,1.79
trairi,BR,1615977715,-3.2778,-39.2689,7,83,299.76,3.26
lorengau,PG,1615977715,-2.0226,147.2712,63,75,300.62,1.8
nishihara,JP,1615977716,26.1842,127.7558,75,73,296.15,2.57
faanui,PF,1615977717,-16.4833,-151.75,78,76,300.93,4.58
uusikaupunki,FI,1615977718,60.8004,21.4084,90,80,273.15,3.09
nicolas bravo,MX,1615977719,18.45,-88.9167,28,83,298.71,3.13
touros,BR,1615977719,-5.1989,-35.4608,40,83,297.15,2.06
halifax,CA,1615977709,44.6453,-63.5724,20,73,266.15,2.06
tiksi,RU,1615977721,71.6872,128.8694,100,99,246.95,3.55
arraial do cabo,BR,1615977722,-22.9661,-42.0278,40,94,297.15,5.66
sisimiut,GL,1615977723,66.9395,-53.6735,89,84,258.53,3.5
govindgarh,IN,1615977723,27.5,76.9833,100,11,309.08,3.64
inhambane,MZ,1615977724,-23.865,35.3833,20,62,304.15,4.12
thompson,CA,1615977725,55.7435,-97.8558,40,54,268.15,2.57
narsaq,GL,1615977726,60.9167,-46.05,90,80,273.15,1.03
shumikha,RU,1615977496,55.2261,63.2961,12,75,272.43,5.43
parkes,AU,1615977727,-33.1333,148.1833,100,90,290.37,3.49
auchel,FR,1615977728,50.5034,2.4735,100,85,282.04,4.47
lake havasu city,US,1615977671,34.4839,-114.3224,1,34,284.82,1.54
paysandu,UY,1615977725,-32.3214,-58.0756,38,90,291.48,3.13
buchanan,LR,1615977729,5.8808,-10.0467,89,77,301.71,3.55
yulara,AU,1615977730,-25.2406,130.9889,39,10,300.15,3.09
marzuq,YE,1615977731,14.4,46.4667,93,8,304.43,4.62
challans,FR,1615977731,46.8436,-1.8749,0,47,287.04,5.14
lata,PT,1615977732,40.1629,-8.3327,0,58,289.26,4.47
emerald,AU,1615977223,-23.5333,148.1667,75,83,297.15,2.57
sarmanovo,RU,1615977733,55.2553,52.5891,0,50,271.15,4
khatanga,RU,1615977734,71.9667,102.5,100,92,242.44,6.56
mantua,IT,1615977735,45.1667,10.7833,5,29,287.04,2.24
kalmunai,LK,1615977219,7.4167,81.8167,69,70,301.42,5.1
fairbanks,US,1615977611,64.8378,-147.7164,75,78,255.37,2.57
rawlins,US,1615977737,41.7911,-107.2387,90,86,268.15,3.09
pachino,IT,1615977738,36.7186,15.0907,75,41,286.15,2.06
xining,CN,1615977739,36.6167,101.7667,0,34,283.83,3.63
bathsheba,BB,1615977739,13.2167,-59.5167,20,69,297.15,6.17
campbellsville,US,1615977740,37.3434,-85.3419,1,100,281.15,2.06
chuy,UY,1615977172,-33.6971,-53.4616,80,91,294.26,4.25
cherskiy,RU,1615977741,68.75,161.3,22,96,243.56,2.09
rio gallegos,AR,1615977700,-51.6226,-69.2181,0,57,282.15,10.8
kampot,KH,1615977743,10.6167,104.1833,20,65,302.15,3.09
marietta,US,1615977645,33.9526,-84.5499,90,100,283.15,2
nhulunbuy,AU,1615977029,-12.2333,136.7667,22,78,301.15,2.57
belle fourche,US,1615977640,44.6714,-103.8522,90,86,273.15,5.14
sabang,ID,1615977280,5.8933,95.3214,98,64,301.84,1.31
nanortalik,GL,1615977745,60.1432,-45.2371,100,95,272.72,6.24
salou,ES,1615977746,41.0766,1.1416,0,45,291.15,8.75
kerrville,US,1615977747,30.0474,-99.1403,90,76,285.15,4.12
rudnogorsk,RU,1615977748,57.2639,103.7519,100,90,263.46,1.58
nuevo casas grandes,MX,1615977748,30.4167,-107.9167,0,43,275.5,0.93
virginia beach,US,1615977596,36.8529,-75.978,90,87,281.15,6.69
foz do iguacu,BR,1615977750,-25.5478,-54.5881,75,100,293.15,1.54
fershampenuaz,RU,1615977751,53.5202,59.8117,75,78,269.09,4.31
baglung,NP,1615977752,28.2719,83.5898,16,16,299.37,2.64
nouadhibou,MR,1615977753,20.931,-17.0347,0,83,293.15,6.17
kaeo,NZ,1615977754,-35.1,173.7833,32,91,290.93,4.63
tura,IN,1615977612,25.5198,90.2201,0,13,304.43,1.85
barcelos,PT,1615977598,41.5388,-8.6151,0,42,291.15,5.66
omboue,GA,1615977756,-1.5746,9.2618,100,81,297.59,3.78
araouane,ML,1615977756,18.9048,-3.5265,0,12,303.27,3.36
tasiilaq,GL,1615977757,65.6145,-37.6368,100,92,272.48,8.8
san juan,AR,1615977691,-31.5375,-68.5364,92,47,291.97,6.11
ponta delgada,PT,1615976872,37.7333,-25.6667,75,72,287.15,5.14
guerrero negro,MX,1615977759,27.9769,-114.0611,0,88,284.85,4.91
deshnok,IN,1615977760,27.7986,73.3447,88,9,308.63,4.74
umm kaddadah,SD,1615977760,13.6017,26.6876,86,5,313.04,6.81
talnakh,RU,1615977762,69.4865,88.3972,100,79,249.07,3.88
smithers,CA,1615977662,54.7804,-127.1743,40,75,275.15,4.12
bethel,US,1615977763,41.3712,-73.414,86,91,272.59,0.64
dikson,RU,1615977764,73.5069,80.5464,30,98,242.11,3.55
namatanai,PG,1615977765,-3.6667,152.4333,89,74,300.32,2.49
vardo,NO,1615977766,70.3705,31.1107,75,93,267.15,12.35
nago,JP,1615977766,26.5881,127.9761,1,73,296.15,3.6
saint george,US,1615977767,37.1041,-113.5841,1,93,277.04,3.09
deputatskiy,RU,1615977768,69.3,139.9,100,98,251.62,1.86
huanren,CN,1615977768,41.2647,125.3667,20,49,275.21,1.1
kodiak,US,1615977769,57.79,-152.4072,1,50,270.15,2.57
provideniya,RU,1615977770,64.3833,-173.3,18,88,253.42,4.44
batemans bay,AU,1615977771,-35.7167,150.1833,100,85,291.48,0.89
datong,CN,1615977772,40.0936,113.2914,100,73,278.55,2.2
turbat,PK,1615977773,26.0023,63.044,0,10,309.14,3.64
kaitangata,NZ,1615977774,-46.2817,169.8464,12,75,283.71,1.79
vicosa do ceara,BR,1615977775,-3.5622,-41.0922,78,89,294.65,1.73
matagalpa,NI,1615977775,12.9256,-85.9175,28,96,288.34,1.77
port lincoln,AU,1615977776,-34.7333,135.8667,0,83,291.33,3.94
kongolo,CD,1615977777,-5.3833,27,100,79,299.47,1.59
bilma,NE,1615977778,18.6853,12.9164,0,12,305.61,5.95
kasempa,ZM,1615977779,-13.4584,25.8338,99,80,296.1,1.31
abha,SA,1615977281,18.2164,42.5053,0,12,301.15,7.2
orocue,CO,1615977780,4.7912,-71.3354,100,87,296.31,2.89
roma,US,1615977247,43.2128,-75.4557,90,33,280.15,2.57
aklavik,CA,1615977184,68.2191,-135.0107,67,77,249.15,1.54
new norfolk,AU,1615977782,-42.7826,147.0587,0,67,289.15,1.03
lucapa,AO,1615977782,-8.4192,20.7447,100,60,300.24,2.35
tanout,NE,1615977783,14.9709,8.8879,23,8,308.89,5.67
luderitz,NA,1615977784,-26.6481,15.1594,0,62,295.19,6.22
port augusta,AU,1615977785,-32.5,137.7667,0,73,295.37,5.14
cap-chat,CA,1615977786,49.1001,-66.6821,98,53,264.15,4.63
basoko,CD,1615977786,1.2391,23.616,100,88,297.5,0.85
hamilton,US,1615977043,39.1834,-84.5333,90,100,279.26,2.57
kyaikto,MM,1615977788,17.3,97.0167,7,42,304.85,5.06
taitung,TW,1615977788,22.7583,121.1444,75,88,297.15,1.54
janakkala,FI,1615977789,60.9,24.6,89,87,275.37,3.37
katsuura,JP,1615977790,35.1333,140.3,20,41,288.15,6.17
araxa,BR,1615977790,-19.5933,-46.9406,52,88,292.81,1.71
lere,NG,1615977791,10.387,8.5726,33,12,312.56,0.45
